,Product,Name,Rating,CommentHead,Comment
0,redmi 10,Flipkart customer,4,Pretty good,"After 14 days from buying this product,  I gave this review.. 1. Phone quality is excellent  2.battery is excellent  3.procecer is excellent  4.camera is excellent5.charger is not good6.you  should have given a mobile cover7. Phone colour is  good8.  You should given 18 w ğŸ”‹ğŸ”Œ                       Judging from all aspects, the mobile is quite excellentğŸ‘ğŸ‘"
1,redmi 10,Aakash biswas,5,Mind-blowing purchase,â€¢ Value for money Product.â€¢ Good Battery Life.â€¢ Beautiful Colour options.â€¢ Really Good Display.â€¢ Definitely Worth Buying.â€¢ Camera performance decent enough.
2,redmi 10,Yogesh raghav,3,Does the job,50mp based on 2005 times like 2 maga pixel ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚Battery really good for long term use but charger in box only 10W ğŸ˜Display be okk. And large for view Performance good.... S.D 680Design also cool and slimRedmi 10 not made for youngsters.
3,redmi 10,Sumit banerjee,3,Decent product,Extremely Big phone with average build quality. Does not have the classy feeling that Note 7S I had earlier. Plastic back. Worst Selfie Camera within recent years from Xiaomi. Decent Back Camera which can give good pictures with minor tweaks in settings. Xiaomi has went completely down with the software of thia one as they had replaced their Contacts with Google one which has no proper Auto Call Record option without letting other party knowing. Useless. Best Battery backup which easily l...
4,redmi 10,Dhamchelam dukpa,5,Terrific,"Thank u so much flick karte ğŸ˜Š value of money, I really appreciate it , it's amazing ğŸ‘Œ go for it, I received today I like the product ğŸ‘Œ"
5,redmi 10,Basudeb  sahoo,5,Awesome,it's best phone is 4gTo good phone all need to buy thisIt's phone i like this product nice camera nice sound and many more...
6,redmi 10,Nishant katalkar,5,Excellent,"Camera quality good . nice product with this range . Trusted Mi Brand . Good to buy , Go for it"
7,redmi 10,Flipkart customer,5,Simply awesome,Mobile was awsm good battery good display But acceries is not available like back cover screen card  plz relese  the acceries
8,redmi 10,Pravin awate,4,Bad quality,Camera is very poor. Pictures taken with its 50mp camera are as good as 8 mp camera of any mobile. Front camera also is not good at all. Call recording is not available. Battery take lot of time to charge. Charger is of very average quality. Needed to provide 33W fast charger but it's 10W slow charger.
9,redmi 10,Dipankar roy,4,Value-for-money,"Camera quality could be better, there is only 2 back camera but design is look like quad camera.There must a soft case expected with in this budget.Batter and other performance is good.Android 12 is really missing here hope fully it will upgrade soon.It is mono speaker, sound quality is ok.Batter back-up is good, but it is taking longer time as only 10watt charger provided, for fast charging we need to purchase 18W charger."
